Sentence,Language
"L'aspect expérimental reste central en chimie, ceci aussi bien du point de vue historique que pour la pratique actuelle de cette science ainsi que de son enseignement.",fr
"Principen om superponering anger att ett sedimentärt lager i en lagerföljd som är opåverkad av tektoniska processer är yngre än lagret under, och äldre än lagret över.",sv
Οι έρευνες του Τζαν Σουάμμερνταμ στην εντομολογία ήταν ενδιαφέρουσες και εξέλιξαν τις βασικές τεχνικές μικροσκοπικής ανατομής και χρώσης.,el
"La géologie est une science comprenant de nombreuses spécialités et fait appel aux connaissances de domaines scientifiques variés, tels que la biologie, la physique (mécanique des fluides, pétrochimie...), la chimie, la science des matériaux, la cosmologie, la climatologie, l'hydrologie… Les méthodes d'études et les connaissances géologiques s'appliquent dans de nombreux domaines sociétaux, économiques et industriels, comme l'exploitation de matières premières, le génie civil, la gestion des ressources en eau, la gestion de l'environnement ou la prévention des risques naturels.",fr
"A Química Inorgânica tem aplicações em todos os aspectos da indústria química, incluindo catálise, ciência dos materiais, pigmentos, surfactantes, revestimentos, medicamentos, combustíveis e agricultura.",pt
على الرغم من اهتمام علماء الجيولوجيا الكوكبية بدراسة جميع جوانب الكواكب الأخرى، إلّا أن التركيز الأكبر تَمثّل بالبحث عن أدلة من الماضي أو الحاضر عن إمكانية وجود حياة على كواكب أخرى.,ar
"İşlevleri kalıtsal bilgiyi depolamak, iletmek ve ifade etmektir.",tr
கணிதத்தின் தற்காலப் புலங்களைப் பற்றிப் பட்டியலிடவேண்டுமானால் அப்பட்டியலில் 100 புலங்களுக்கும் மேலாக இருக்கும்.,ta
"Questa disciplina si propone di ridurre l'impatto dei processi chimici mettendo in pratica concetti quali l'utilizzo di materie prime ricavate da fonti rinnovabili, la riduzione di reflui e scarti, l'utilizzo di composti biosostenibili ed ecosostenibili.",it
De kwantumchromodynamica is de veldentheorie van de sterke kernkracht.,nl
"பாய்ம இயந்திரவியலில்  பாய்ம நிலையியல், பாய்ம இயக்கவியல், காற்றியக்கவியல், மற்றும் காற்றழுத்தவியல் உட்பிரிவுகளாகும்.",ta
"A palavra passou a ter o significado mais restrito e técnico de ""estudo matemático"" mesmo no período clássico.",pt
:84-86,da
A química também aborda a natureza das ligações químicas em compostos químicos.,pt
"Biyojeokimyasal döngü, belirli madde elementlerinin Dünya'nın biyotik (biyosfer) ve abiyotik (litosfer, atmosfer ve hidrosfer) bölümleri arasında yer değiştirdiği veya hareket ettiği bir yoldur.",tr
:25,da
skrev ned ett antal matematiska problem han kallade antika skrifter.,sv
En yrkesmässigt ämneskunnig i biologi kallas för biolog.,sv
's Danske lov fra 1683.,da
"വാസ്തവിക ചരങ്ങളുടെ ഫലനങ്ങളേയും, വാസ്തവിക സംഖ്യകളേയും കുറിച്ചുള്ള കൃത്യതയുള്ള പഠനത്തിന് വാസ്തവിക വിശകലനം എന്നറിയപ്പെടുന്നു.",ml
"Ved en flods udløb i havet falder strømhastigheden markant, så at aflejringen af sediment øges.",da
"Ontology is a prerequisite for physics, but not for mathematics.",en
A física e as outras ciências naturais são o motor de propulsão de numerosas instituições científicas de grande importância.,pt
"Volcanic ashes and lavas accumulate on the surface, and igneous intrusions enter from below.",en
"Los cambios energéticos que ocurren durante una reacción química catalizada por una enzima, o fenómenos como el acoplamiento químico-osmótico parecen requerir más de un enfoque físico teórico profundo que de una evaluación biológica.",es
"Forskning i fysik bedrives af en fysiker, der typisk er uddannet inden for fysik, men vedkommende kan også få sin viden fra uddannelse i andre naturvidenskabelige, ingeniørmæssige eller matematiske områder.",da
"In 1837, Jean-Baptiste Dumas considered the word ""chemistry"" to refer to the science concerned with the laws and effects of molecular forces.",en
"Thus, oceanic parts of plates and the adjoining mantle convection currents always move in the same direction – because the oceanic lithosphere is actually the rigid upper thermal boundary layer of the convecting mantle.",en
"Engineering geology is the application of geological principles to engineering practice for the purpose of assuring that the geological factors affecting the location, design, construction, operation, and maintenance of engineering works are properly addressed.",en
Wiskunde neemt in de wetenschap een speciale positie in door de wijze waarop kennis verkregen wordt.,nl
"Igualmente la mecánica newtoniana trata el campo gravitatorio como un campo de fuerzas, pero por otra parte la teoría de la relatividad general considera que no existen genuinamente fuerzas gravitatorias sino que los fenómenos gravitatorios son una manifestación de la curvatura del espacio-tiempo.",es
Teoretiska fysiker använder matematiska modeller för att beskriva och tolka befintliga experimentella resultat och kan sedan försöka generalisera dessa modeller till nya teorier och från dessa förutse resultatet av framtida experiment.,sv
"​​ Antes de eso, las matemáticas eran escritas con palabras, un minucioso proceso que limitaba el avance matemático.",es
Joseph Black começou a quantificar o calor através da medida da capacidade térmica das substâncias.,pt
Applied physics is a general term for physics research and development that is intended for a particular use.,en
"Posteriormente, en el siglo XVII, un científico inglés reunió las ideas de Galileo y Kepler en un solo trabajo, unifica las ideas del movimiento celeste y las de los movimientos en la Tierra en lo que él llamó gravedad.",es
"Il termine fisica subnucleare sta cadendo in disuso poiché si riferiva allo studio di particelle interne al nucleo, mentre oggi la maggior parte delle particelle note non sono costituenti nucleari.",it
എല്ലാ വർഷവും മാർച്ച് മാസത്തിലെ ആദ്യത്തെ ബുധനാഴ്ച ലോക ഗണിത ദിനമായി ആചരിച്ചു വരുന്നു.,ml
Deze structuren kunnen zowel de schaal hebben van continenten als van afzonderlijke stenen.,nl
"Lorsque James Chadwick découvre les neutrons, la théorie quantique fondée au début de l'entre-deux-guerres sur le modèle rival d'Erwin Schrödinger renforcée par les compléments matriciels de Werner Heisenberg, l'affinement théorique de Wolfgang Pauli a déjà pris son envol.",fr
"Busca atender demandas exigidas pela própria comunidade científica, como a necessidade de se propor novas teorias para problemas que são insolúveis para a teoria vigente.",pt
"A geologia foi essencial para determinar a idade da Terra, que se calculou ter cerca de 4,6 bilhões de anos, e a desenvolver a teoria denominada tectônica de placas, segundo a qual a litosfera terrestre, que é rígida e formada pela crosta e o manto superior, dispõe-se fragmentada em várias placas tectônicas, as quais se deslocam sobre a astenosfera, que tem comportamento plástico.",pt
Till exempel är stål hårdare än järn med lägre kolinnehåll på grund av att dess atomer är starkare ihopbundna i en stabilare kristallstruktur; trä brinner eller genomgår snabb oxidation eftersom det över en viss temperatur kan reagera spontant med syre i en kemisk reaktion; socker och salt löser sig i vatten till följd av att deras molekylära/joniska egenskaper är sådana att upplösning är fördelaktig under dessa förhållanden.,sv
"A fundamental principle of geology advanced by the 18th-century Scottish physician and geologist James Hutton is that ""the present is the key to the past.""",en
El geólogo económico se encarga de hacer todos los estudios necesarios para poder encontrar las rocas o minerales que puedan ser potencialmente explotados.,es
"Inoltre, le funzioni di trasferimento dell'energia avvengono all'interno della cellula grazie a processi noti come metabolismo.",it
Naast serieuze wiskunde is er ook een minder serieuze 'recreatieve' wiskunde.,nl
Därtill använder kemisten elektromagnetism och i synnerhet termodynamik.,sv
"Grunden til, matematikere bruger en særlig notation og et særligt sprog er ønsket om at kunne udtrykke sig med større præcision end hvad dagligsprog tillader.",da
"eller en række af vektorkoordinater: 







a
→



=
[

a

1


,

a

2


]


{\displaystyle {\vec {a}}=[a_{1},a_{2}]}

 eller 



(

a

1


,

a

2


)


{\displaystyle (a_{1},a_{2})}

.",da
ومع ذلك، غالبًا ما تتحول موضوعات الرياضيات البحتة إلى تطبيقات، على سبيل المثال نظرية الأعداد في التشفير.,ar
عرّف أرسطو الرياضيات بأنها «علم الكمية»، وساد هذا التعريف حتى القرن الثامن عشر.,ar
"La roue et le levier, le travail des matériaux, en particulier la métallurgie, ont pu être réalisés sans ce qu'on appelle la physique.",fr
"Dans cette vision, chaque individu cherche par ses actions à accroître un certain profit, et ce de façon rationnelle.",fr
:35,da
Også når man ser bort fra notationen med symboler og tegn kan matematikeres sprog være svært at forstå for begyndere.,da
"இது கொண்டுள்ள தனிமங்கள் அதன் சேர்க்கையையும், ஒழுங்கமைப்பு சேர்மத்தின் வேதியியல் இயல்புகளையும் தீர்மானிக்கின்றன.",ta
"El modo en que los organismos reciben su nombre está gobernado por acuerdos internacionales, como el Código Internacional de Nomenclatura Botánica (CINB), el Código Internacional de Nomenclatura Zoológica (CINZ) y el Código Internacional de Nomenclatura Bacteriana (CINB).",es
"Mais recentemente, em 1998, o professor Raymond Chang ampliou a definição de ""química"" para significar “o estudo da matéria e as mudanças que ela sofre”.",pt
Biologer studerer generelle principper for hvordan levende organismer virker og er organiseret:,da
"Cell signaling (or communication) is the ability of cells to receive, process, and transmit signals with its environment and with itself.",en
Το δεύτερο μεγάλο θέμα ενασχόλησης της χημείας είναι οι χημικές αντιδράσεις.,el
Los tejidos y los órganos también pueden mantener su propia homeostasis.,es
Floder gnaver i deres underlag eller i bredderne og fører sediment bort.,da
"L'ordine è: dominio, regno, phylum, classe, ordine, famiglia, genere, specie.",it
இன்று கணிதவியலில் பயன்படுத்தப்படும் பல குறியீடுகள் 16வது நூற்றாண்டு வரை கண்டுபிடிக்கப்படவில்லை.,ta
ترتبط هذه الدقائق ببعضها البعض بقوى متفاوتة في القوة، فنجد هذه القوى كبيرة في المادة الصلبة، ومتوسطّة في السوائل، وضعيفة في حالة الغازات.,ar
[g] The emergence of computer-assisted proofs has allowed proof lengths to further expand.,en
പ്രകാശത്തെക്കുറിച്ചുള്ള തന്റെ പഠനങ്ങളും സിദ്ധാന്തങ്ങളും അടങ്ങുന്ന പ്രകാശശാസ്ത്രം (Optics)  എന്ന ഒരു പുസ്തകം കൂടി അദ്ദേഹം പ്രസിദ്ധീകരിച്ചു.,ml
എണ്ണമെന്ന അമൂർത്ത സങ്കല്പം മറ്റുപല ജീവികളും സ്വായത്തമാക്കിയിട്ടുണ്ട് .,ml
"Em seu Magnus Opus, Tratado Elementar da Química (1789), Lavoisier construiu os pilares da química contemporânea.",pt
എല്ലാ ലോക സംസ്ക്കാരങ്ങളുടെയും വളർച്ചയുടെ കൂടെ കുറച്ചു ഗണിതവും വളർന്നിട്ടുണ്ട്.,ml
Yaşamın evrimsel tarihinde virüslerin kökenleri belirsizdir: bazıları plazmidlerden (hücreler arasında hareket edebilen DNA parçaları) evrilmiş olabilirken diğerleri bakterilerden evrilmiş olabilir.,tr
يستخدم الفيزيائيون المنهج العلمي لاختبار صحة النظرية الفيزيائية.,ar
A conquista mais notável da matemática islâmica foi o desenvolvimento da álgebra.,pt
La chimie explique sommairement la formation du bois et des textiles naturels ou permet la synthèse de larges gammes de matières et de types de matériaux.,fr
الحضارات الإنسانيَّة الأولى كالحضارة الصينية والمصريَّة والبابليَّة والهنديَّة نجحت في جمع معرفة عمليَّة بخصوص التعدين وصنع الفخار والأصبغة، غير أنَّها لم تُطوِّر معرفة نظريَّة منظمة يُمكن اعتبارها علمًا.,ar
A long-term interaction is called a symbiosis.,en
"In English, the noun mathematics takes a singular verb.",en
"I am an old man now, and when I die and go to heaven there are two matters on which I hope for enlightenment.",en
"Dette førte til studiet af primtal (heltal uden divisorer), som er en klassisk disciplin inden for talteori, men fx også studiet af fuldkomne tal (heltal, hvor summen af divisorerne er lig tallet, se figur).",da
Alternativt kan Galilei faldlov gøres mere kompliceret ved at tilføje et bidrag fra luftmodstanden.,da
[carece de fontes?],pt
"Fas är ett specifikare begrepp än aggregationstillstånd; materia i samma aggregationstillstånd kan vara uppdelat på flera olika faser, men materia i olika aggregationstillstånd bildar alltid olika faser.",sv
"Todos os organismos, unicelulares e multicelulares, exibem homeostase.",pt
Matematikçiler ve filozoflar arasında matematiğin kesin kapsamı ve tanımı konusunda görüş ayrılığı vardır.,tr
Men spreekt dan van een ionogene binding.,nl
"Nestas áreas tradicionais da estatística matemática, um problema de decisão estatística é formulado minimizando uma função de perda sob restrições específicas.",pt
"Mathematics has developed a rich terminology covering a broad range of fields that study the properties of various abstract, idealized objects and how they interact.",en
ദ്രവ്യത്തെ ഊർജ്ജമായും ഊർജ്ജത്തെ ദ്രവ്യമായും മാറ്റാവുന്നതാണെന്ന് ഐൻസ്റ്റൈൻ തെളിയിച്ചു.,ml
"These are determined by the rules of quantum mechanics, which require quantization of energy of a bound system.",en
"""​",es
"Med leddet 



3

x

2




{\displaystyle 3x^{2}}

 menes underforstået 



3
×

x

2


=
3
×
x
×
x


{\displaystyle 3\times x^{2}=3\times x\times x}

, mens der med 



2
x
y


{\displaystyle 2xy}

 menes 



2
×
x
×
y


{\displaystyle 2\times x\times y}

.",da
"A invenção da máquina a vapor, aprimorada por Thomas Newcomen e James Watt, levou a um grande interesse científico no estudo do calor.",pt
"No final do século XIX, Nicolas-Remi Brück e Charles Henri Lagrange estenderam suas análises à geopolítica.",pt
"Гетерогенные смеси, в которых одна фаза в виде отдельных частиц распределена в другой, называются дисперсными системами.",ru
C'est également un moyen de guider les citoyens à préparer une société éduquée et responsable ».,fr
"L'objet de la biologie est l'être vivant et la vie, dans son ensemble et son fonctionnement.",fr
"Due to a scarcity of books, mathematical teachings in ancient India were communicated using memorized oral tradition since the Vedic period (c. 1500 – c. 500 BCE).",en
Vaker wordt een bestaande theorie een speciaal geval van een nieuwe overkoepelende theorie.,nl
"Αυτός ο ""τελευταίος παγκόσμιος κοινός πρόγονος"", δηλαδή, ο πιο πρόσφατος κοινός πρόγονος όλων των οργανισμών, πιστεύεται ότι εμφανίστηκε περίπου πριν από 3.5 δισεκατομμύρια χρόνια (δείτε: Αβιογένεση).",el
Sådana modeller kallas för semiklassiska.,sv
"Cuando una roca se solidifica o cristaliza a partir de un fundido (magma o lava), es una roca ígnea.",es
"A esta escala, las nociones ordinarias y comunes de espacio, tiempo, materia y energía ya no son válidas.",es
Os avanços na microscopia também tiveram um impacto profundo no pensamento biológico.,pt
"No âmbito da sua disciplina, a química ocupa uma posição intermédia entre a física e a biologia.",pt
Maddenin makroskopik özellikleriyle uğraşan dalıdır.,tr
Elle permet de rapidement établir une chronologie du terrain étudié.,fr
ഈ ബലത്തിന്റെ പരിധി വളരെ വലുതാണ്.ആപ്പിൾ താഴോട്ട് വീഴുന്നതും ചന്ദ്രൻ ഭൂമിയെ ചുറ്റുന്നതും ഗുരുത്വാകർഷണബലത്താലാണെന്ന് ആദ്യമായി തെളിയിച്ചത് സർ ഐസക് ന്യൂട്ടനാണ്.,ml
La physique théorique trouve donc ses limites dans la mesure où son renouveau permanent vient de l'impossibilité d'atteindre un état de connaissance parfait et sans faille du réel.,fr
"Algler, Plantae'nin erken tek hücreli atasına biçim olarak benzeyen mikroskobik tatlı su algleri olan glaukofit gibi birkaç farklı kladdan oluşur.",tr
"Finally, hormones are ligands that travel through the circulatory systems of animals or vascular systems of plants to reach their target cells.",en
"Por exemplo, em matemática, ""ou"" significa ""um, o outro ou ambos"", enquanto, na linguagem comum, é ambíguo ou significa ""um ou outro, mas não ambos"" (em matemática, o último é chamado de ""ou exclusivo"").",pt
"I numeri interi sono riconosciuti come sottoinsieme dei numeri razionali (""frazioni"").",it
وساهم ألبرت أينشتاين بصياغته النسبية الخاصة عام 1905 التي تبين عدم وجود مكان مطلقا أو زمن مطلق وربطت بين الاثنين فيما يسمى الزمكان للأنظمة التي تكون السرعات فيها قريبة من سرعة الضوء (300.000 كيلومتر في الثانية).,ar
"La fisica è nata e si è sviluppata allo scopo di studiare i fenomeni naturali, ossia tutti gli eventi che possono essere descritti, ovvero quantificati o misurati, attraverso grandezze fisiche opportune, al fine di stabilire principi e leggi che regolano le interazioni tra le grandezze stesse e le loro variazioni, mediante astrazioni matematiche.",it
"Enzimler, reaktanları ürünlere dönüştürmek için gereken aktivasyon enerjisi miktarını azaltarak katalizör görevi görürler - bir reaksiyonun daha hızlı ilerlemesini sağlarlar.",tr
"Las comparaciones de secuencias de ADN, ARN y de proteínas, facilitadas por el desarrollo técnico de la biología molecular y de la genómica, junto con el estudio comparativo de fósiles u otros restos paleontológicos, generan la información precisa para el análisis filogenético.",es
"Dentre as importantes sociedades científicas nas comunidades lusófonas, podem ser citadas a Sociedade Brasileira de Química e a Sociedade Portuguesa de Química.",pt
"Un descubrimiento importante de la teoría cuántica es el principio de incertidumbre, enunciado por Heisenberg en 1927, que pone un límite teórico absoluto en la precisión de ciertas mediciones.",es
"Efter förebild från Carl von Linné började den tyske bergsmannen Abraham Gottlob Werner samla kring sig en skara lärjungar och bilda en vetenskaplig skola för studiet av olika bergarter, och klassificerade dem i grupper efter sitt läge i berget - äldst ""grundberget"" eller ""urberget"", så ""övergångsberget"" och ""flötsberget"" samt yngst ""de hopsvämmade bergen"".",sv
"Τα μαθηματικά, με τον τρόπο που χρησιμοποιούνται για να περιγράφουν εξειδικευμένα τα πράγματα, «μένουν ταυτισμένα με πολύπλοκες και δυσνόητες “εξισώσεις”, κατάλληλες για να χρησιμοποιηθούν μόνο από λίγους “ειδικούς” για σκοπούς που οι περισσότεροι δεν καταλαβαίνουν».",el
Le prime ipotesi che la Terra avesse un comportamento dinamico e che quindi i rapporti tra continenti e oceani potessero cambiare furono formulate già dai filosofi pitagorici.,it
ومن أهم النتائج الأخرى مبدئ التكافئ بين المادة والطاقة، وهو أمر تعبر عنه بشكل بليغ أحد أشهر المعادلات الفيزيائية:,ar
Endoplazmik retikulum ve Golgi aygıtı gibi diğer organeller sırasıyla proteinlerin sentezinde ve paketlenmesinde rol oynar.,tr
"Der skulle dog to vigtige videnskabelige opdagelser til, før vejen var banet for, at Jordens alder kunne øges betragteligt, i forhold til biskop Usshers alder: Dels da Niels Stensen i sin afhandling fra 1669 om fossilholdige bjergarter i Toscana påviste, at den hårde bjergart som omgav fossilerne, oprindeligt måtte have været blød og uhærdnet, og at alle bjergarter derfor ikke som beskrevet i Biblen blev dannet på én gang, men ved en række forskellige processer gennem et tidsrum.",da
"De fleste ferskvandsaflejringer dannes ud fra det sediment, som floder på deres vej mod havet fører med sig.",da
"Hvis funktionen 



f
(
x
)


{\displaystyle f(x)}

, og dermed også dens graf, er sammenhængende og ikke knækker i 




x

0




{\displaystyle x_{0}}

, vil differenskvotienten have en grænseværdi, når 



x


{\displaystyle x}

 går mod 




x

0




{\displaystyle x_{0}}

, kaldet differentialkvotienten for 



f
(
x
)


{\displaystyle f(x)}

 i 




x

0




{\displaystyle x_{0}}

:",da
"Ao questionar a verdade deste postulado, esta descoberta foi interpretada como uma adesão ao Paradoxo de Russell ao revelar a crise fundamental da matemática.",pt
ഈ ആശയങ്ങൾ ഭൗതികത്തിൽ വിപ്ലവകരമായ മാറ്റങ്ങൾ ഉണ്ടാക്കി.,ml
இந்த நான்கு தேவைகளும் பின்வரும் நான்கு பெரிய கணிதப் பிரிவுகளைப் பிரதிபடுத்துகின்றன:,ta
Les atomes restent grosso modo indivisibles au cours d'une réaction chimique (en acceptant les légères exceptions que constituent les échanges des électrons périphériques).,fr
"De formele redenering die aantoont dat een stelling waar is, noemt men een wiskundig bewijs.",nl
"In the 1940s and early 1950s, a series of experiments by Alfred Hershey and Martha Chase pointed to DNA as the component of chromosomes that held the trait-carrying units that had become known as genes.",en
"സോപ്പ്, ഡിറ്റർജെന്റുകൾ, ക്രീമുകൾ, ലേപനങ്ങൾ, സുഗന്ധവസ്തുക്കൾ, ജെല്ലുകൾ, കണ്ടീഷണറുകൾ",ml
"A geometria foi dividida em dois novos subcampos: geometria sintética, que utiliza métodos puramente geométricos, e geometria analítica, que utiliza coordenadas sistemicamente.",pt
Bu fermantasyon türü alkolik fermantasyon veya etanol fermantasyonu olarak bilinir.,tr
These datasets are our primary source of information on global climate change outside of instrumental data.,en
Sua mecânica tornou-se modelo para a construção de teorias científicas futuras.,pt
"Başka bir örnek, 2'den büyük her çift tam sayının iki asal sayı'nın toplamı olduğunu öne süren Goldbach hipotezi'dir.",tr
"Hay que indicar que las leyes del movimiento de Newton son un caso particular de esta teoría donde la masa, al viajar a velocidades muy pequeñas, no experimenta variación alguna en longitud ni se transforma en energía y al tiempo se le puede considerar absoluto.",es
The scope of algebra thus grew to include the study of algebraic structures.,en
"В ассоциации с термином экосистема под гомеостазом понимают, в частности, поддержание растениями и водорослями постоянной концентрации атмосферного кислорода и диоксида углерода на Земле.",ru
"Dynamics are described in terms of matter particles exchanging gauge bosons (gluons, W and Z bosons, and photons, respectively).",en
"Inom den biologiska systematiken placeras arter, både levande och utdöda, i ett sammanhang och släktskapen mellan dem studeras.",sv
Reproductive isolation can result from incompatibilities between genes as described by Bateson–Dobzhansky–Muller model.,en
قال داروين في نظريته إنّ الأنواع والسلالات تتطور خلال عمليات الانتقاء الطبيعي والانتقاء الاصطناعي، بالإضافة إلى الانحراف الوراثي الذي شكّل آليةً تطوريةً أخرى في توليفة النظرية الحديثة.,ar
Denne ikke-eksponentielle form for vækst kaldes logistisk vækst.,da
Under 1700-talet började man så sakta upptäcka att bergskedjorna verkade ha en lång och komplicerad tillkomsthistoria.,sv
"II, с.",ru
Relativitetsteorien er altså en teori om rum og tid.,da
"इस विज्ञान के अनेक उपविभाग हैं जिसमें से निम्नलिखित अत्यन्त महत्वपूर्ण हैं- ऐतिहासिक भूविज्ञान, भौतिक भूविज्ञान, आर्थिक भूविज्ञान, संरचनात्मक भूविज्ञान, खनिज विज्ञान, खनन भूविज्ञान, भू-आकृति विज्ञान, शैल वर्णना, शैल विज्ञान, ज्वालामुखी विज्ञान, स्तरिक भूविज्ञान एवं जीवाश्म विज्ञान।",hi
"Afirmava ele que cada elemento tinha o seu próprio tipo de átomos, cada qual com tamanho e peso característicos.",pt
Геометрия — Тригонометрия — Алгебраическая геометрия — Топология — Дифференциальная геометрия — Алгебраическая топология — Линейная алгебра — Фракталы — Теория меры.,ru
